transaction_id,is_fraud,fraud_reason,fraud_risk_score
T0000219,0,,0.17
T0000220,0,,0.58
T0000221,0,,0.62
T0000222,0,,0.76
T0000223,0,,0.08
T0000224,0,,0.4
T0000225,0,,0.21
T0000226,0,,0.1
T0000227,0,,0.29
T0000228,0,,0.76
T0000229,0,,0.58
T0000230,0,,0.98
T0000231,0,,0.48
T0000232,0,,0.75
T0000233,0,,0.78
T0000234,0,,0.39
T0000235,0,,0.45
T0000236,0,,0.08
T0000237,0,,0.92
T0000238,0,,0.27
T0000239,0,,0.08
T0000240,0,,0.37
T0000241,0,,0.36
T0000242,0,,0.35
T0000243,0,,0.86
T0000244,0,,0.56
T0000245,0,,0.9
T0000246,0,,1
T0000247,1,High risk transaction,0.95
T0000248,0,,0.84
T0000249,0,,0.26
T0000250,0,,0.33
T0000251,0,,0.32
T0000252,0,,0.44
T0000253,0,,0.33
T0000254,0,,0.12
T0000255,0,,0.95
T0000256,0,,0.87
T0000257,1,High risk transaction,0.78
T0000258,0,,0.72
T0000259,0,,0.05
T0000260,0,,0.05
T0000261,0,,0.32
T0000262,0,,0.24
T0000263,0,,0.05
T0000264,0,,0.07
T0000265,0,,0.69
T0000266,0,,0.94
T0000267,0,,0.98
T0000268,0,,0.85
T0000269,0,,0.75
T0000270,0,,0.87
T0000271,0,,0.9
T0000272,0,,0.55
T0000273,0,,0.27
T0000274,0,,0.93
T0000275,0,,0.41
T0000276,0,,0.16
T0000277,0,,0.94
T0000278,0,,0.14
T0000279,0,,0.04
T0000280,0,,0.97
T0000281,0,,0.39
T0000282,1,High risk transaction,0.91
T0000283,0,,0.41
T0000284,0,,0.56
T0000285,0,,0.7
T0000286,0,,0.48
T0000287,0,,0.57
T0000288,0,,0.9
T0000289,0,,0.57
T0000290,0,,0.16
T0000291,0,,0.34
T0000292,0,,0.04
T0000293,0,,0.81
T0000294,0,,0.36
T0000295,0,,0.06
T0000296,0,,0.06
T0000297,0,,0.99
T0000298,0,,0.71
T0000299,0,,0.32
T0000300,0,,0.48
T0000301,0,,0.12
T0000302,0,,0.42
T0000303,0,,0.52
T0000304,0,,0.76
T0000305,0,,0.46
T0000306,0,,0.07
T0000307,0,,0.08
T0000308,0,,0.51
T0000309,0,,0.61
T0000310,0,,0.81
T0000311,0,,0.85
T0000312,0,,0.08
T0000313,0,,0.05
T0000314,1,Multiple failed attempts,0.69
T0000315,0,,0.64
T0000316,0,,0.32
T0000317,0,,0.35
T0000318,0,,0.44
T0000319,0,,0.56
T0000320,0,,0.48
T0000321,0,,0.88
T0000322,0,,0.83
T0000323,0,,0.77
T0000324,0,,0.78
T0000325,0,,0.52
T0000326,0,,0.86
T0000327,0,,0.81
T0000328,0,,0.48
T0000329,0,,0.7
T0000330,0,,0.69
T0000331,0,,0.35
T0000332,0,,0.94
T0000333,0,,0.17
T0000334,0,,0.77
T0000335,0,,0.69
T0000336,0,,0.37
T0000337,0,,0.31
T0000338,0,,0.63
T0000339,0,,0.56
T0000340,0,,0.76
T0000341,0,,0.04
T0000342,0,,0.78
T0000343,0,,0.57
T0000344,0,,0.06
T0000345,0,,0.9
T0000346,0,,0.39
T0000347,0,,0.57
T0000348,0,,0.01
T0000349,0,,0.23
T0000350,0,,0.14
T0000351,1,High risk transaction,0.73
T0000352,0,,0.87
T0000353,0,,0.23
T0000354,0,,0.15
T0000355,0,,0.32
T0000356,0,,0.72
T0000357,0,,0.1
T0000358,0,,0.06
T0000359,0,,0.24
T0000360,0,,0.19
T0000361,0,,0.08
T0000362,0,,0.53
T0000363,0,,0.13
T0000364,0,,0.99
T0000365,0,,0.47
T0000366,0,,0.24
T0000367,0,,0.96
T0000368,0,,0.72
T0000369,0,,0.49
T0000370,0,,0.77
T0000371,0,,0.88
T0000372,0,,0.12
T0000373,0,,0.51
T0000374,0,,0.49
T0000375,0,,0.4
T0000376,0,,0.68
T0000377,0,,0.4
T0000378,0,,0.14
T0000379,0,,0.96
T0000380,0,,0.51
T0000381,0,,0.74
T0000382,1,Multiple failed attempts,0.81
T0000383,0,,0.04
T0000384,1,High risk transaction,0.76
T0000385,0,,0.99
T0000386,0,,0.39
T0000387,0,,0.16
T0000388,0,,0.52
T0000389,0,,0.87
T0000390,0,,0.68
T0000391,0,,0.54
T0000392,0,,0.86
T0000393,0,,0.89
T0000394,0,,0.15
T0000395,0,,0.36
T0000396,0,,0.34
T0000397,0,,0.28
T0000398,0,,0.88
T0000399,0,,0.85
T0000400,0,,0.3
T0000401,0,,0.58
T0000402,0,,0.46
T0000403,0,,0.75
T0000404,0,,0.08
T0000405,0,,0.78
T0000406,0,,0.65
T0000407,0,,0.85
T0000408,0,,0.8
T0000409,0,,0.16
T0000410,0,,0.3
T0000411,0,,0.1
T0000412,1,High risk transaction,0.81
T0000413,0,,0.19
T0000414,0,,0.9
T0000415,0,,0.61
T0000416,0,,0.56
T0000417,0,,0.43
T0000418,0,,0.04
T0000419,0,,0.57
T0000420,0,,0.77
T0000421,0,,0.37
T0000422,0,,0.83
T0000423,0,,0.23
T0000424,0,,0.6
T0000425,0,,0.83
T0000426,0,,0.93
T0000427,0,,0.48
T0000428,0,,0.78
T0000429,0,,0.32
T0000430,0,,0.62
T0000431,0,,0.99
T0000432,0,,0.95
T0000433,0,,0.05
T0000434,0,,0.12
T0000435,0,,0.22
T0000436,1,High risk transaction,0.85
T0000437,0,,0.38
T0000438,0,,0.11
T0000439,0,,0.03
T0000440,0,,0.04
T0000441,0,,0.67
T0000442,1,Multiple failed attempts,0.2
T0000443,0,,0.91
T0000444,0,,0.84
T0000445,0,,0.15
T0000446,0,,0.57
T0000447,0,,0.14
T0000448,0,,0.59
T0000449,0,,0.88
T0000450,0,,0.39
T0000451,0,,0.85
T0000452,0,,0.32
T0000453,0,,0.93
T0000454,0,,0.56
T0000455,0,,0.68
T0000456,0,,0.12
T0000457,0,,0.52
T0000458,0,,0.84
T0000459,0,,0.34
T0000460,0,,0.23
T0000461,0,,0.45
T0000462,0,,0.09
T0000463,0,,0.01
T0000464,0,,0.94
T0000465,0,,0.87
T0000466,0,,0.54
T0000467,0,,0.13
T0000468,0,,0.12
T0000469,0,,0.12
T0000470,0,,0.63
T0000471,1,High risk transaction,0.77
T0000472,0,,0.15
T0000473,0,,0.35
T0000474,0,,0.47
T0000475,0,,0.97
T0000476,0,,0.54
T0000477,0,,0.53
T0000478,0,,0.8
T0000479,0,,0.34
T0000480,0,,0.12
T0000481,0,,0.62
T0000482,0,,0.1
T0000483,0,,0.91
T0000484,0,,0.35
T0000485,0,,0.01
T0000486,0,,0.41
T0000487,0,,0.5
T0000488,0,,0.25
T0000489,0,,0.3
T0000490,0,,0.77
T0000491,0,,0.6
T0000492,0,,0.09
T0000493,0,,0.9
T0000494,0,,0.22
T0000495,0,,0.75
T0000496,0,,0.81
T0000497,0,,0.12
T0000498,0,,0.47
T0000499,0,,0.7
T0000500,0,,0.52
T0000501,0,,0.48
T0000502,0,,0.3
T0000503,0,,0.64
T0000504,0,,0.54
T0000505,0,,0.55
T0000506,0,,0.66
T0000507,0,,0.59
T0000508,0,,0.13
T0000509,0,,0.34
T0000510,0,,0.35
T0000511,0,,0.92
T0000512,0,,0.96
T0000513,0,,0.22
T0000514,0,,0.1
T0000515,0,,0.42
T0000516,0,,0.7
T0000517,0,,0.24
T0000518,0,,0.89
T0000519,0,,0.49
T0000520,0,,0.2
T0000521,1,High risk transaction,0.92
T0000522,0,,0.65
T0000523,0,,0.72
T0000524,0,,0.52
T0000525,0,,0.4
T0000526,0,,0.09
T0000527,0,,0.77
T0000528,0,,0.61
T0000529,0,,0.67
T0000530,0,,0.45
T0000531,0,,0.41
T0000532,0,,0.12
T0000533,0,,0.84
T0000534,0,,0.36
T0000535,0,,0.71
T0000536,0,,0.55
T0000537,0,,0.58
T0000538,0,,0.4
T0000539,0,,0.32
T0000540,0,,0.38
T0000541,0,,0.12
T0000542,0,,0.24
T0000543,0,,0.15
T0000544,0,,0.4
T0000545,0,,0.92
T0000546,0,,0.95
T0000547,0,,0.2
T0000548,0,,0.05
T0000549,0,,0.74
T0000550,0,,0.38
T0000551,0,,0.93
T0000552,0,,0.79
T0000553,0,,0.8
T0000554,0,,0.68
T0000555,0,,0.48
T0000556,0,,0.27
T0000557,0,,0.04
T0000558,0,,0.2
T0000559,0,,0.71
T0000560,0,,0.11
T0000561,0,,0.5
T0000562,0,,0.22
T0000563,0,,0.46
T0000564,0,,0.63
T0000565,0,,0.11
T0000566,0,,0.34
T0000567,0,,0.91
T0000568,0,,0.9
T0000569,0,,0.62
T0000570,0,,0.04
T0000571,0,,0.9
T0000572,0,,0.4
T0000573,0,,0.5
T0000574,0,,0.75
T0000575,0,,0.56
T0000576,0,,0.14
T0000577,0,,0.11
T0000578,0,,0.55
T0000579,0,,0.98
T0000580,0,,0.1
T0000581,0,,0.31
T0000582,1,High risk transaction,0.81
T0000583,0,,0.07
T0000584,0,,0.57
T0000585,0,,0.27
T0000586,0,,0.34
T0000587,0,,0.61
T0000588,0,,0.66
T0000589,0,,0.96
T0000590,0,,0.41
T0000591,0,,0.3
T0000592,0,,0.57
T0000593,0,,0.76
T0000594,0,,0.15
T0000595,0,,0.75
T0000596,0,,0.47
T0000597,0,,0.52
T0000598,0,,0.21
T0000599,1,High risk transaction,0.71
T0000600,0,,0.44
T0000601,0,,0.17
T0000602,0,,0.74
T0000603,0,,0.39
T0000604,0,,0.35
T0000605,0,,0.73
T0000606,0,,0.08
T0000607,0,,0.15
T0000608,0,,0.56
T0000609,0,,0.73
T0000610,0,,0.54
T0000611,0,,0.46
T0000612,0,,0.8
T0000613,0,,0.53
T0000614,1,High risk transaction,0.74
T0000615,0,,0.07
T0000616,0,,0.4
T0000617,1,High risk transaction,0.92
T0000618,0,,0.16
T0000619,0,,0.97
T0000620,0,,0.34
T0000621,0,,0.42
T0000622,1,High risk transaction,0.95
T0000623,0,,0.36
T0000624,1,High risk transaction,0.74
T0000625,0,,0.41
T0000626,0,,0.53
T0000627,0,,0.8
T0000628,0,,0.75
T0000629,0,,0.9
T0000630,0,,0.59
T0000631,0,,0.96
T0000632,0,,0.24
T0000633,0,,0.64
T0000634,1,High risk transaction,0.91
T0000635,0,,0.25
T0000636,0,,0.98
T0000637,0,,0.82
T0000638,0,,0.23
T0000639,0,,0.16
T0000640,0,,0.87
T0000641,0,,0.56
T0000642,0,,0.8
T0000643,0,,0.61
T0000644,0,,0.88
T0000645,0,,0.16
T0000646,0,,0.19
T0000647,0,,0.52
T0000648,0,,0.93
T0000649,0,,0.82
T0000650,0,,0.36
T0000651,0,,0.95
T0000652,0,,0.64
T0000653,0,,0.13
T0000654,1,High risk transaction,0.95
T0000655,0,,0.24
T0000656,0,,0.83
T0000657,0,,0.23
T0000658,0,,0.66
T0000659,0,,0.62
T0000660,1,High risk transaction,0.76
T0000661,0,,0.9
T0000662,1,High risk transaction,0.81
T0000663,0,,0.49
T0000664,0,,0.41
T0000665,0,,0.55
T0000666,0,,0.53
T0000667,0,,0.62
T0000668,0,,0.16
T0000669,0,,0.17
T0000670,0,,0.08
T0000671,0,,0.79
T0000672,0,,0.32
T0000673,0,,0.44
T0000674,0,,0.04
T0000675,0,,0.12
T0000676,0,,0.46
T0000677,0,,0.08
T0000678,0,,0.46
T0000679,0,,0.85
T0000680,0,,0.72
T0000681,0,,0.01
T0000682,0,,0.24
T0000683,0,,0.32
T0000684,0,,0.94
T0000685,0,,0.61
T0000686,1,High risk transaction,0.84
T0000687,0,,0.18
T0000688,0,,0.37
T0000689,0,,0.18
T0000690,0,,0
T0000691,0,,0.22
T0000692,0,,0.58
T0000693,0,,0.66
T0000694,0,,0.09
T0000695,0,,0.76
T0000696,0,,0.87
T0000697,0,,0.3
T0000698,0,,0.26
T0000699,1,Multiple failed attempts,0.67
T0000700,0,,0.33
T0000701,0,,0.64
T0000702,0,,0.57
T0000703,0,,0.02
T0000704,0,,0.85
T0000705,0,,0.23
T0000706,0,,0.76
T0000707,0,,0.41
T0000708,0,,0.61
T0000709,0,,0.86
T0000710,0,,0.79
T0000711,0,,0.41
T0000712,0,,0.01
T0000713,0,,0.18
T0000714,1,High risk transaction,0.88
T0000715,0,,0.08
T0000716,0,,0.83
T0000717,0,,0.12
T0000718,0,,0.74
T0000719,0,,0.64
T0000720,0,,0.54
T0000721,0,,0.11
T0000722,0,,0.13
T0000723,0,,0.92
T0000724,0,,0.96
T0000725,1,High risk transaction,0.74
T0000726,0,,0.02
T0000727,0,,0.9
T0000728,1,High risk transaction,0.78
T0000729,0,,0.7
T0000730,0,,0.26
T0000731,0,,0.61
T0000732,0,,0.82
T0000733,0,,0.98
T0000734,0,,0.04
T0000735,1,High risk transaction,0.99
T0000736,0,,0.38
T0000737,0,,0.82
T0000738,0,,0.2
T0000739,0,,0.82
T0000740,0,,0.68
T0000741,0,,0.81
T0000742,0,,0.43
T0000743,0,,0.66
T0000744,0,,0.9
T0000745,0,,0.55
T0000746,0,,0.46
T0000747,0,,0.18
T0000748,0,,0.34
T0000749,0,,0.38
T0000750,0,,0.21
T0000751,0,,0.85
T0000752,0,,0.95
T0000753,0,,0.9
T0000754,0,,0.59
T0000755,0,,0.84
T0000756,0,,0.43
T0000757,0,,0.62
T0000758,0,,0.88
T0000759,0,,0.79
T0000760,0,,0.86
T0000761,0,,0.22
T0000762,0,,0.12
T0000763,0,,0.76
T0000764,0,,0.42
T0000765,0,,0.99
T0000766,0,,0.79
T0000767,0,,0.08
T0000768,0,,0.72
T0000769,0,,0.2
T0000770,0,,0.27
T0000771,0,,0.73
T0000772,1,High risk transaction,0.89
T0000773,0,,0.52
T0000774,0,,0.79
T0000775,0,,0.95
T0000776,0,,0.35
T0000777,0,,0.04
T0000778,0,,0.65
T0000779,0,,0.26
T0000780,0,,0.38
T0000781,0,,0.67
T0000782,1,High risk transaction,0.92
T0000783,0,,0.77
T0000784,0,,0.39
T0000785,0,,0.55
T0000786,0,,0.28
T0000787,0,,0.15
T0000788,0,,0.74
T0000789,0,,0.05
T0000790,0,,0.35
T0000791,0,,0.88
T0000792,0,,0.37
T0000793,0,,0.67
T0000794,0,,0.72
T0000795,0,,0.83
T0000796,0,,0.65
T0000797,0,,0.69
T0000798,0,,0.7
T0000799,0,,0.62
T0000800,0,,0.38
T0000801,0,,0.42
T0000802,0,,0.94
T0000803,0,,0.6
T0000804,0,,0.57
T0000805,0,,0.55
T0000806,0,,0.1
T0000807,0,,0.04
T0000808,0,,1
T0000809,1,High risk transaction,0.72
T0000810,0,,0.74
T0000811,0,,0.49
T0000812,0,,0.54
T0000813,0,,0.98
T0000814,0,,0.79
T0000815,0,,0.07
T0000816,0,,0.02
T0000817,0,,0.46
T0000818,0,,0.3
T0000819,0,,0.7
T0000820,0,,0.2
T0000821,0,,0.03
T0000822,0,,0.52
T0000823,0,,0.63
T0000824,0,,0.13
T0000825,0,,0.42
T0000826,0,,0.07
T0000827,0,,0.54
T0000828,0,,0.07
T0000829,0,,0.87
T0000830,0,,0.15
T0000831,0,,0.78
T0000832,0,,0.98
T0000833,1,Multiple failed attempts,0.48
T0000834,0,,0.82
T0000835,0,,0.03
T0000836,0,,0.97
T0000837,0,,0.88
T0000838,0,,0.2
T0000839,0,,0.91
T0000840,0,,0.93
T0000841,0,,0.13
T0000842,0,,0.79
T0000843,0,,0.88
T0000844,0,,0.1
T0000845,0,,0.93
T0000846,0,,0.48
T0000847,1,High risk transaction,0.72
T0000848,0,,0.34
T0000849,0,,0.56
T0000850,0,,0.74
T0000851,0,,0.24
T0000852,0,,0.24
T0000853,0,,0.71
T0000854,0,,0.36
T0000855,0,,0.16
T0000856,0,,0.04
T0000857,0,,0.63
T0000858,0,,0.79
T0000859,0,,0.03
T0000860,0,,0.62
T0000861,0,,0.51
T0000862,0,,0.28
T0000863,0,,0.22
T0000864,0,,0.94
T0000865,0,,0.34
T0000866,0,,0.1
T0000867,1,Multiple failed attempts,0.68
T0000868,0,,0.85
T0000869,0,,0.24
T0000870,0,,0.36
T0000871,0,,0.6
T0000872,0,,0.3
T0000873,0,,0.48
T0000874,0,,0.3
T0000875,0,,0.52
T0000876,0,,0.39
T0000877,0,,0.42
T0000878,0,,0.47
T0000879,1,High risk transaction,0.86
T0000880,0,,0.71
T0000881,0,,0.4
T0000882,0,,0.58
T0000883,0,,0.28
T0000884,0,,0.95
T0000885,0,,0.88
T0000886,0,,0.39
T0000887,0,,0.85
T0000888,0,,0.61
T0000889,0,,0.99
T0000890,0,,0.14
T0000891,0,,0.06
T0000892,0,,0.34
T0000893,0,,0.28
T0000894,0,,0.25
T0000895,0,,0.42
T0000896,0,,0.23
T0000897,0,,0.06
T0000898,0,,0.59
T0000899,0,,0.41
T0000900,0,,0.74
T0000901,0,,0.65
T0000902,1,Multiple failed attempts,0.86
T0000903,0,,0.14
T0000904,0,,0.45
T0000905,0,,0.78
T0000906,0,,0.71
T0000907,0,,0.9
T0000908,0,,0.03
T0000909,0,,0.63
T0000910,0,,0.7
T0000911,0,,0.4
T0000912,0,,0.92
T0000913,0,,0.98
T0000914,0,,0.44
T0000915,0,,0.72
T0000916,0,,0.93
T0000917,0,,0.38
T0000918,0,,0.81
T0000919,0,,0.17
T0000920,0,,0.1
T0000921,0,,0.45
T0000922,0,,0.03
T0000923,0,,0.86
T0000924,1,High risk transaction,0.71
T0000925,0,,0.11
T0000926,0,,0.12
T0000927,0,,0.61
T0000928,0,,0.88
T0000929,1,High risk transaction,0.83
T0000930,0,,1
T0000931,0,,0.91
T0000932,0,,0.37
T0000933,0,,0.14
T0000934,0,,0.32
T0000935,0,,0.03
T0000936,1,High risk transaction,0.82
T0000937,0,,0.74
T0000938,0,,0.91
T0000939,0,,0.3
T0000940,0,,0.67
T0000941,0,,0.85
T0000942,0,,0.42
T0000943,0,,0.48
T0000944,0,,0.45
T0000945,0,,0.22
T0000946,0,,0.67
T0000947,0,,0.56
T0000948,0,,0.78
T0000949,0,,0.99
T0000950,0,,0.81
T0000951,0,,0.7
T0000952,0,,0.73
T0000953,0,,0.43
T0000954,0,,0.57
T0000955,1,High risk transaction,0.71
T0000956,0,,0.58
T0000957,0,,0.9
T0000958,0,,0.59
T0000959,0,,0.87
T0000960,0,,0.09
T0000961,0,,0.23
T0000962,0,,0.46
T0000963,0,,0.41
T0000964,0,,0.54
T0000965,0,,0.35
T0000966,0,,0.56
T0000967,0,,0.12
T0000968,0,,0.77
T0000969,0,,0.7
T0000970,0,,0.02
T0000971,0,,0.29
T0000972,1,High risk transaction,0.84
T0000973,0,,0.98
T0000974,0,,0.78
T0000975,0,,0.28
T0000976,0,,0.71
T0000977,0,,0.02
T0000978,0,,0.09
T0000979,0,,0.43
T0000980,0,,0.78
T0000981,0,,0.93
T0000982,0,,0.42
T0000983,0,,0.8
T0000984,0,,0.21
T0000985,0,,0.02
T0000986,0,,0.07
T0000987,0,,0.6
T0000988,0,,0.1
T0000989,0,,0.13
T0000990,0,,0.59
T0000991,0,,0.25
T0000992,0,,0.77
T0000993,0,,0.72
T0000994,0,,0.76
T0000995,0,,0.97
T0000996,0,,0.68
T0000997,0,,1
T0000998,0,,0.33
T0000999,0,,0.14
T0001000,0,,0.15
T0001001,0,,0.11
T0001002,0,,0.2
T0001003,0,,0.26
T0001004,1,Multiple failed attempts,0.33
T0001005,0,,0.88
T0001006,0,,0.36
T0001007,0,,0.78
T0001008,0,,0.13
T0001009,0,,0.44
T0001010,0,,0.66
T0001011,0,,0.73
T0001012,0,,0.4
T0001013,0,,0.12
T0001014,0,,0.02
T0001015,0,,0.34
T0001016,0,,0.47
T0001017,0,,0.41
T0001018,0,,0.71
T0001019,0,,0.88
T0001020,0,,0.16
T0001021,0,,0.97
T0001022,0,,0.39
T0001023,0,,0.86
T0001024,0,,0.17
T0001025,0,,0.61
T0001026,0,,0.85
T0001027,0,,0.55
T0001028,0,,0.27
T0001029,0,,0.36
T0001030,1,High risk transaction,0.8
T0001031,0,,0.87
T0001032,0,,0.65
T0001033,0,,0.52
T0001034,0,,0.24
T0001035,1,High risk transaction,0.76
T0001036,0,,0.4
T0001037,0,,0.9
T0001038,0,,0.26
T0001039,0,,0.51
T0001040,0,,0.43
T0001041,0,,0.88
T0001042,0,,0.73
T0001043,0,,0.49
T0001044,0,,0.74
T0001045,0,,0.7
T0001046,0,,0.87
T0001047,0,,0.96
T0001048,0,,0.64
T0001049,1,High risk transaction,0.74
T0001050,0,,0.55
T0001051,0,,0.24
T0001052,0,,0.67
T0001053,0,,0.59
T0001054,0,,0.5
T0001055,0,,0.69
T0001056,0,,0.4
T0001057,0,,0.55
T0001058,0,,0.33
T0001059,0,,0.67
T0001060,0,,0.15
T0001061,0,,0.67
T0001062,0,,0.06
T0001063,0,,0.98
T0001064,0,,0.69
T0001065,0,,0.3
T0001066,0,,0.29
T0001067,0,,0.88
T0001068,0,,0.81
T0001069,0,,0.94
T0001070,0,,0.36
T0001071,0,,1
T0001072,0,,0.71
T0001073,0,,0.78
T0001074,0,,0.12
T0001075,0,,0.7
T0001076,0,,0.05
T0001077,1,High risk transaction,0.96
T0001078,0,,0.26
T0001079,0,,0.47
T0001080,0,,0.11
T0001081,0,,0.16
T0001082,1,High risk transaction,0.76
T0001083,0,,0.28
T0001084,0,,0.84
T0001085,0,,0.88
T0001086,0,,0.61
T0001087,0,,0.03
T0001088,0,,0.53
T0001089,0,,0.19
T0001090,0,,0.67
T0001091,0,,0.27
T0001092,0,,0.98
T0001093,0,,0.33
T0001094,0,,0.07
T0001095,0,,0.72
T0001096,0,,0.61
T0001097,0,,0.47
T0001098,0,,0.45
T0001099,0,,0.75
T0001100,0,,0.69
T0001101,0,,0.11
T0001102,0,,0.4
T0001103,0,,0.83
T0001104,0,,0.22
T0001105,0,,0.8
T0001106,0,,0.17
T0001107,0,,0.78
T0001108,0,,0.46
T0001109,0,,0.22
T0001110,0,,0.61
T0001111,0,,0.73
T0001112,0,,0.82
T0001113,0,,0.81
T0001114,0,,0.93
T0001115,0,,0.93
T0001116,0,,0.11
T0001117,0,,0.4
T0001118,0,,0.59
T0001119,0,,0.35
T0001120,0,,0.35
T0001121,0,,0.05
T0001122,0,,0.59
T0001123,0,,0.99
T0001124,1,High risk transaction,0.82
T0001125,0,,0.37
T0001126,0,,0.25
T0001127,0,,0.04
T0001128,0,,0.89
T0001129,0,,0.29
T0001130,0,,0.78
T0001131,0,,0.71
